Symbol;Position;Type;Lots;Open time;Open price;Close time;Close price;Profit;Net profit;Rollover;Comment
EURUSD;657009146;Buy Stop;0.03;17.06.2022 18:56:29;1.04999;17.06.2022 19:18:33;1.04775;-6.72;-6.72;0;[S/L]
EURUSD;657009145;Buy Stop;0.03;17.06.2022 18:56:29;1.04999;17.06.2022 19:18:33;1.04775;-6.72;-6.72;0;[S/L]
EURUSD;655402614;Sell Stop;0.04;16.06.2022 14:49:06;1.03872;16.06.2022 14:55:00;1.03971;-3.96;-3.96;0;[S/L]
EURUSD;655324171;Sell Limit;0.07;16.06.2022 14:03:44;1.04112;16.06.2022 14:16:37;1.03947;11.55;11.55;0;[T/P]
EURUSD;654698568;Sell Stop;0.04;16.06.2022 00:24:45;1.0394;16.06.2022 01:00:19;1.04104;-6.56;-6.56;0;[S/L]
EURUSD;649114640;Sell Limit;0.02;09.06.2022 22:50:22;1.0649;10.06.2022 16:17:50;1.06017;9.46;9.48;0;[T/P]
AUDUSD;648994148;Sell Limit;0.04;09.06.2022 21:35:31;0.7129;10.06.2022 02:03:24;0.71031;10.36;10.36;0;[T/P]
AUDUSD;647876032;Buy Stop;0.04;08.06.2022 23:00:13;0.7218;08.06.2022 23:45:51;0.72008;-6.88;-6.88;0;[S/L]
EURUSD;646535891;Sell Stop;0.06;07.06.2022 20:16:06;1.0655;07.06.2022 20:30:00;1.0667;-7.2;-7.20;0;[S/L]
AUDUSD;645648538;Sell Stop;0.04;06.06.2022 22:26:46;0.7193;06.06.2022 22:59:19;0.72084;-6.16;-6.16;0;[S/L]
AUDUSD;631885452;Buy Stop;0.04;20.05.2022 08:11:57;0.70296;20.05.2022 09:11:18;0.70112;-7.36;-7.36;0;[S/L]
AUDUSD;631876217;Buy Stop;0.03;20.05.2022 07:41:43;0.70384;20.05.2022 09:08:47;0.70184;-6;-6.00;0;[S/L]
EURUSD;631876214;Buy Stop;0.04;20.05.2022 07:41:39;1.05757;20.05.2022 09:10:20;1.05583;-6.96;-6.96;0;[S/L]
AUDUSD;630667817;Sell Stop;0.04;19.05.2022 13:44:58;0.69752;19.05.2022 14:58:52;0.69928;-7.04;-7.04;0;[S/L]
EURUSD;630667808;Sell Stop;0.05;19.05.2022 13:44:54;1.04797;19.05.2022 14:59:01;1.04927;-6.5;-6.50;0;[S/L]
AUDUSD;630550852;Sell Stop;0.03;19.05.2022 08:27:55;0.69658;19.05.2022 09:43:07;0.69867;-6.27;-6.27;0;[S/L]
AUDUSD;629413591;Buy Stop;0.04;18.05.2022 12:22:21;0.7024;18.05.2022 14:03:01;0.70069;-6.84;-6.84;0;[S/L]
EURUSD;629347734;Buy Stop;0.04;18.05.2022 08:50:22;1.05406;18.05.2022 13:36:15;1.05226;-7.2;-7.20;0;[S/L]
EURUSD;628307714;Buy Limit;0.03;17.05.2022 14:22:52;1.04627;17.05.2022 17:18:57;1.05016;11.67;11.67;0;[T/P]
EURUSD;628226391;Buy Limit;0.05;17.05.2022 12:22:09;1.04474;17.05.2022 14:08:56;1.04669;9.75;9.75;0;[T/P]
AUDUSD;627472169;Buy Limit;0.03;16.05.2022 19:38:55;0.69306;17.05.2022 01:28:04;0.69629;9.69;9.69;0;[T/P]
AUDUSD;626971834;Buy Stop;0.03;16.05.2022 08:31:18;0.69464;16.05.2022 08:48:22;0.69252;-6.36;-6.36;0;[S/L]
EURUSD;626151416;Sell Stop;0.03;13.05.2022 20:33:12;1.03601;13.05.2022 21:20:17;1.03808;-6.21;-6.21;0;[S/L]
EURUSD;625716755;Sell Stop;0.03;13.05.2022 13:15:02;1.03918;13.05.2022 14:29:36;1.04131;-6.39;-6.39;0;[S/L]
EURUSD;625596861;Sell Stop;0.03;13.05.2022 07:56:53;1.03765;13.05.2022 10:20:00;1.03976;-6.33;-6.33;0;[S/L]
EURUSD;624500425;Sell Limit;0.04;12.05.2022 16:25:02;1.04345;12.05.2022 18:38:48;1.04089;10.24;10.24;0;[T/P]
EURUSD;624400668;Sell Limit;0.05;12.05.2022 15:09:28;1.0456;12.05.2022 16:03:42;1.04349;10.55;10.55;0;[T/P]
EURUSD;624311729;Sell Stop;0.04;12.05.2022 14:24:04;1.04453;12.05.2022 14:26:57;1.0463;-7.08;-7.08;0;[S/L]
EURUSD;624272413;Sell;0.06;12.05.2022 14:08:55;1.04931;12.05.2022 14:09:34;1.04926;0.3;0.30;0;
EURUSD;624192831;Sell;0.06;12.05.2022 12:53:16;1.05043;12.05.2022 13:22:40;1.04948;5.7;5.70;0;
AUDUSD;624192851;Sell Stop;0.04;12.05.2022 12:53:21;0.68778;12.05.2022 13:24:13;0.68962;-7.36;-7.36;0;[S/L]
AUDUSD;623392518;Buy Stop;0.03;11.05.2022 20:53:45;0.70481;11.05.2022 21:10:17;0.70235;-7.38;-7.38;0;[S/L]
EURUSD;621323459;Buy Stop;0.04;10.05.2022 11:16:00;1.05779;10.05.2022 13:35:44;1.05617;-6.48;-6.48;0;[S/L]
AUDUSD;621303202;Sell Stop;0.04;10.05.2022 10:18:33;0.69518;10.05.2022 10:55:15;0.69692;-6.96;-6.96;0;[S/L]
AUDUSD;618385747;Sell;0.02;06.05.2022 08:20:25;0.7117;06.05.2022 09:37:45;0.71042;2.56;2.56;0;
AUDUSD;616977504;Buy;0.03;05.05.2022 08:04:49;0.72406;05.05.2022 08:45:24;0.72476;2.1;2.10;0;
EURUSD;616977501;Buy Limit;0.04;05.05.2022 08:04:45;1.0612;05.05.2022 08:33:10;1.06385;10.6;10.60;0;[T/P]
AUDUSD;616030382;Buy Limit;0.03;04.05.2022 17:42:51;0.71292;05.05.2022 01:00:35;0.71602;9.3;9.30;0;[T/P]
AUDUSD;614706936;Buy Stop;0.04;03.05.2022 12:32:20;0.71138;03.05.2022 14:01:09;0.70962;-7.04;-7.04;0;[S/L]
AUDUSD;613752727;Sell;0.04;02.05.2022 16:46:34;0.70666;02.05.2022 21:59:08;0.70495;6.84;6.84;0;
AUDUSD;613881890;Sell;0.03;02.05.2022 19:21:35;0.7059;02.05.2022 21:59:08;0.70495;2.85;2.85;0;
AUDUSD;613492819;Sell Stop;0.03;02.05.2022 10:28:39;0.70467;02.05.2022 16:28:12;0.70711;-7.32;-7.32;0;[S/L]
AUDUSD;612331983;Buy Stop;0.03;29.04.2022 15:08:37;0.71576;29.04.2022 21:32:58;0.71338;-7.14;-7.14;0;[S/L]
AUDUSD;612181766;Buy Stop;0.03;29.04.2022 12:22:22;0.71615;29.04.2022 14:04:13;0.71395;-6.6;-6.60;0;[S/L]
AUDUSD;611255454;Sell;0.03;28.04.2022 17:41:09;0.70961;28.04.2022 19:16:52;0.70791;5.1;5.10;0;
AUDUSD;611212462;Sell Limit;0.03;28.04.2022 16:55:39;0.71129;28.04.2022 18:57:16;0.70841;8.64;8.64;0;[T/P]
GOLD;611137974;Sell Stop;0.01;28.04.2022 15:46:19;1888.03;28.04.2022 19:33:37;1893.5;-5.47;-5.47;0;[S/L]
EURUSD;610892744;Sell Stop;0.04;28.04.2022 11:24:32;1.051;28.04.2022 13:45:29;1.05286;-7.44;-7.44;0;[S/L]
EURUSD;610846723;Sell;0.04;28.04.2022 09:38:26;1.05351;28.04.2022 11:02:18;1.05116;9.4;9.40;0;
AUDUSD;610868305;Sell Stop;0.03;28.04.2022 10:24:07;0.70978;28.04.2022 13:53:36;0.7121;-6.96;-6.96;0;[S/L]
GOLD;605880893;Buy Stop;0.01;22.04.2022 17:22:12;1939.94;22.04.2022 17:23:44;1934.7;-5.24;-5.24;0;[S/L]
GOLD;604311133;Buy Stop;0.01;21.04.2022 12:01:06;1950.99;21.04.2022 15:25:12;1946;-4.99;-4.99;0;[S/L]
GOLD;603248592;Buy;0.01;20.04.2022 13:16:29;1939.96;20.04.2022 14:31:04;1944.19;4.23;4.23;0;
GOLD;597805336;Buy Limit;0.01;12.04.2022 16:20:58;1950.48;12.04.2022 17:30:36;1956.52;6.04;6.04;0;[T/P]
GOLD;583622615;Buy;0.01;25.03.2022 15:21:22;1959.39;25.03.2022 15:24:24;1959.68;0.29;0.29;0;
EURUSD;579236746;Buy;0.1;21.03.2022 14:13:53;1.10524;21.03.2022 14:15:45;1.10532;0.8;0.80;0;
GOLD;579214795;Sell Stop;0.01;21.03.2022 13:31:27;1924.16;21.03.2022 17:18:13;1929;-4.84;-4.84;0;[S/L]
USDJPY;549066670;Sell;0.05;18.02.2022 12:36:43;115.2;18.02.2022 14:45:15;115.108;4;4.00;0;
EURUSD;548057766;Buy Stop;0.04;17.02.2022 15:27:09;1.13747;17.02.2022 15:27:18;1.13669;-3.12;-3.12;0;[S/L]
EURUSD;547869881;Buy Stop;0.03;17.02.2022 10:07:30;1.1381;17.02.2022 10:54:58;1.13669;-4.23;-4.23;0;[S/L]
USDJPY;547867576;Sell Limit;0.05;17.02.2022 09:53:50;115.45;17.02.2022 10:54:07;115.324;5.46;5.46;0;[T/P]
USDJPY;546788976;Buy Stop;0.04;16.02.2022 10:43:07;115.687;16.02.2022 20:49:41;115.561;-4.36;-4.36;0;[S/L]
GOLD;546243336;Buy Stop;0.01;15.02.2022 21:04:14;1854.28;15.02.2022 21:34:05;1848.91;-5.37;-5.37;0;[S/L]
USDJPY;544356466;Sell Limit;0.04;14.02.2022 10:14:38;115.493;14.02.2022 13:54:10;115.319;6.04;6.04;0;[T/P]
EURUSD;544352434;Sell Stop;0.03;14.02.2022 10:01:28;1.1345;14.02.2022 15:14:14;1.13393;1.71;1.71;0;[S/L]
EURUSD;542984563;Sell Stop;0.03;11.02.2022 13:28:01;1.13799;11.02.2022 14:54:39;1.13929;-3.9;-3.90;0;[S/L]
USDJPY;542948111;Buy Stop;0.03;11.02.2022 11:36:51;116.098;11.02.2022 15:00:48;115.964;-3.47;-3.47;0;[S/L]
USDJPY;541813230;Buy;0.03;10.02.2022 16:27:36;115.82;10.02.2022 20:32:45;116.024;5.27;5.27;0;
EURUSD;539836216;Sell Stop;0.02;08.02.2022 15:40:17;1.1402;08.02.2022 17:45:44;1.14191;-3.42;-3.42;0;[S/L]
GOLD;539772688;Buy Limit;0.01;08.02.2022 14:41:27;1815.94;08.02.2022 20:35:57;1822.01;6.07;6.07;0;[T/P]
EURUSD;514695546;Buy Stop;0.05;07.01.2022 16:08:23;1.1312;07.01.2022 18:11:43;1.1302;-5;-5.00;0;[S/L]
GBPUSD;513797966;Sell Stop;0.04;06.01.2022 16:16:49;1.35052;06.01.2022 16:28:00;1.35151;-3.96;-3.96;0;[S/L]
GBPUSD;513726846;Sell Limit;0.04;06.01.2022 15:08:53;1.35005;06.01.2022 15:47:15;1.34978;1.08;1.08;0;[T/P]
EURUSD;513722654;Sell Stop;0.04;06.01.2022 15:05:44;1.12889;06.01.2022 15:09:32;1.1297;-3.24;-3.24;0;[S/L]
EURUSD;512787088;Buy Limit;0.04;05.01.2022 16:52:53;1.13096;05.01.2022 18:33:22;1.13195;3.96;3.96;0;[T/P]
EURUSD;511460226;Sell Limit;0.04;03.01.2022 22:07:46;1.13052;03.01.2022 22:27:09;1.12994;2.32;2.32;0;[T/P]
EURUSD;511044910;Buy Limit;0.04;03.01.2022 13:59:28;1.13441;03.01.2022 17:03:35;1.13572;5.24;5.24;0;[T/P]

